,price_de_eur,battery_charge_wh,battery_discharge_wh,grid_buy_wh,grid_sell_wh,pv_gen_wh,grid_port_charge_wh,grid_port_output_wh,user_load_wh,strategy_mode,price_de_eur_t+1,price_de_eur_t+2,price_de_eur_t+3,price_de_eur_t+4,price_de_eur_t+5,price_de_eur_t+6,price_de_eur_t+7,price_de_eur_t+8,price_de_eur_t+9,price_de_eur_t+10,price_de_eur_t+11,price_de_eur_t+12,price_de_eur_t+13,price_de_eur_t+14,price_de_eur_t+15,price_de_eur_t+16,price_de_eur_t+17,price_de_eur_t+18,price_de_eur_t+19,price_de_eur_t+20,price_de_eur_t+21,price_de_eur_t+22,price_de_eur_t+23,hour_of_day,day_of_week,day_of_year,month,day_of_month
2026-01-01 00:00:00,0.07811,0.0,0.0,0.37999999999999545,0.0,0.0,0.0,0.0,0.0,0.0,0.07294,0.05746,0.03125,0.02532,0.02413,0.04742,0.03172,0.04878,0.04605,0.03658,0.02341,0.03998,0.02662,0.03415,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0,3,1,1,1
2026-01-01 01:00:00,0.07294,0.0,0.0,0.4900000000000091,0.0,0.0,0.0,0.0,0.0,0.0,0.05746,0.03125,0.02532,0.02413,0.04742,0.03172,0.04878,0.04605,0.03658,0.02341,0.03998,0.02662,0.03415,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,1,3,1,1,1
2026-01-01 02:00:00,0.05746,0.0,0.0,0.11000000000001364,0.0,0.09999999999999432,0.0,0.0,0.0,0.0,0.03125,0.02532,0.02413,0.04742,0.03172,0.04878,0.04605,0.03658,0.02341,0.03998,0.02662,0.03415,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,2,3,1,1,1
2026-01-01 03:00:00,0.03125,0.0,0.0,0.3299999999999841,0.0,0.0,0.0,0.0,0.0,3.0,0.02532,0.02413,0.04742,0.03172,0.04878,0.04605,0.03658,0.02341,0.03998,0.02662,0.03415,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,3,3,1,1,1
2026-01-01 04:00:00,0.02532,0.0,0.0,0.13999999999998636,0.0,0.0,0.0,0.10000000000002274,0.0,1.0,0.02413,0.04742,0.03172,0.04878,0.04605,0.03658,0.02341,0.03998,0.02662,0.03415,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,0.01509,4,3,1,1,1
2026-01-01 05:00:00,0.02413,0.0,0.0,0.1500000000000341,0.0,0.0,0.0,0.0,0.0,1.0,0.04742,0.03172,0.04878,0.04605,0.03658,0.02341,0.03998,0.02662,0.03415,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,0.01509,0.01004,5,3,1,1,1
2026-01-01 06:00:00,0.04742,0.0,0.0,0.0999999999999659,0.0,0.0,0.0,0.0,0.0,1.0,0.03172,0.04878,0.04605,0.03658,0.02341,0.03998,0.02662,0.03415,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,0.01509,0.01004,0.00819,6,3,1,1,1
2026-01-01 07:00:00,0.03172,0.0,0.0,0.35000000000002274,0.0,0.09999999999999432,0.0,0.0,0.0,1.0,0.04878,0.04605,0.03658,0.02341,0.03998,0.02662,0.03415,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,0.01509,0.01004,0.00819,0.05841,7,3,1,1,1
2026-01-01 08:00:00,0.04878,0.0,0.0,0.5699999999999932,0.0,0.0,0.0,0.0,0.0,0.0,0.04605,0.03658,0.02341,0.03998,0.02662,0.03415,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,0.01509,0.01004,0.00819,0.05841,0.08302,8,3,1,1,1
2026-01-01 09:00:00,0.04605,0.0,0.0,0.08999999999997499,0.0,0.0,0.0,0.0,0.0,2.0,0.03658,0.02341,0.03998,0.02662,0.03415,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,0.01509,0.01004,0.00819,0.05841,0.08302,0.0975,9,3,1,1,1
2026-01-01 10:00:00,0.03658,0.0,0.0,0.09000000000003183,0.0,0.0,0.0,0.0,0.0,2.0,0.02341,0.03998,0.02662,0.03415,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,0.01509,0.01004,0.00819,0.05841,0.08302,0.0975,0.09897,10,3,1,1,1
2026-01-01 11:00:00,0.02341,0.0,0.0,0.15999999999996817,0.0,0.0,0.0,0.0,0.0,2.0,0.03998,0.02662,0.03415,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,0.01509,0.01004,0.00819,0.05841,0.08302,0.0975,0.09897,0.09064,11,3,1,1,1
2026-01-01 12:00:00,0.03998,0.0,0.0,-420.27,-0.23,0.0,0.0,0.0,0.0,1.0,0.02662,0.03415,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,0.01509,0.01004,0.00819,0.05841,0.08302,0.0975,0.09897,0.09064,0.08067,12,3,1,1,1
2026-01-01 13:00:00,0.02662,0.0,0.0,420.48,0.23,0.0,0.0,0.0,0.0,1.0,0.03415,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,0.01509,0.01004,0.00819,0.05841,0.08302,0.0975,0.09897,0.09064,0.08067,0.07078,13,3,1,1,1
2026-01-01 14:00:00,0.03415,0.0,0.0,0.8999999999999773,0.0,0.0,0.09999999999999964,0.0,0.0,1.0,0.05508,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,0.01509,0.01004,0.00819,0.05841,0.08302,0.0975,0.09897,0.09064,0.08067,0.07078,0.06897,14,3,1,1,1
2026-01-01 15:00:00,0.05508,0.0,0.0,0.9399999999999977,0.0,0.0,0.0,0.0,0.0,1.0,0.06811,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,0.01509,0.01004,0.00819,0.05841,0.08302,0.0975,0.09897,0.09064,0.08067,0.07078,0.06897,0.07444,15,3,1,1,1
2026-01-01 16:00:00,0.06811,-3.799999999999997,-5.199999999999989,-26.52000000000004,-0.03,-6.199999999999989,-0.3000000000000007,-6.899999999999977,0.0,1.0,0.08395,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,0.01509,0.01004,0.00819,0.05841,0.08302,0.0975,0.09897,0.09064,0.08067,0.07078,0.06897,0.07444,0.08257,16,3,1,1,1
2026-01-01 17:00:00,0.08395,0.0,0.0,0.10000000000002274,0.0,0.0,0.0,0.0,0.0,0.0,0.08408,0.07396,0.06998,0.06057,0.05639,0.03749,0.03755,0.03764,0.02749,0.01509,0.01004,0.00819,0.05841,0.08302,0.0975,0.09897,0.09064,0.08067,0.07078,0.06897,0.07444,0.08257,0.09446,17,3,1,1,1
